name	                description
B_BILL_PAY_ATM_EXEC	  Bill Payment On-Us ATM
B_EDC_SAL_TXN_EXEC	  EDC Purchase
B_FUD_TRF_ATM_EXEC	  Fund Transfer On-US ATM
B_CUS_CAD_MTN_EXEC	  Customer Card Maintainence Balance Inqiury/Change Pin/Mini Statement
B_WOU_ATM_TXN_EXEC	  Cash Withdrawal – On-Us ATM
B_WOF_ATM_TXN_EXEC	  Cash Withdrawal – Off-Us ATM
B_MOB_TOP_ATM_EXEC	  Mobile TopUp/Reload On-US ATM
B_SYC_DBT_CAD_EXEC	  Sync KCard Debit Card Infor Job
B_POS_SAL_TXN_EXEC	  POS Purchase
B_ECOM_SAL_TXN_EXEC	  E-Commerce Sale
B_SYC_CRD_CAD_EXEC	  Sync KCard Credit Card Infor Job
B_CLEAN_LOG_EXEC	    Job Clean Log/System Maintainence
B_CSH_BAK_TXN_EXEC	  EDC/POS Cash Back Transaction
B_CSH_DPT_OUS_EXEC	  Cash Deposit – On-Us ATM
B_WOF_CLS_TXN_EXEC    Cardless Withdrawal (QR Scan) – Off-Us ATM
B_WOU_CLS_TXN_EXEC    Cardless Withdrawal (QR Scan) – On-Us ATM
